Feature,Gradient_Boosting,XGBoost,Random_Forest,Average
historical_satisfaction_rate,0.19800655373833467,0.11090808,0.20885043699010922,0.172588358115377
cost_accuracy,0.20666143515225646,0.04941219,0.08314373792871828,0.11307245466504291
distance_score,0.12177653670884171,0.052560452,0.07028444740164286,0.08154047882744009
calculated_distance_km,0.09485756601778317,0.048304554,0.0770460367222598,0.07340271893834854
avg_rating,0.04203581219375184,0.04528648,0.04860948722711128,0.045310593252748166
avg_completion_time,0.03928214246687344,0.040996026,0.04312949358938692,0.04113588743466672
specialization_match_score,0.03644719528878723,0.054926887,0.03167007995435699,0.04101472079924113
cost_reliability,0.02993630256910909,0.037270986,0.050084940159703634,0.0390974094241802
time_reliability,0.027470347372603416,0.044719018,0.04014244081537291,0.03744393541002129
avg_historical_cost,0.02939863033446999,0.034746345,0.04756787168518889,0.03723761571741607
num_reviews,0.019471647991211948,0.042957034,0.04264151844983708,0.035023400134353455
years_in_business,0.01886597525462828,0.043906715,0.03893862369857423,0.03390377124014005
total_repairs,0.01880852807273306,0.04900717,0.03248943697701194,0.03343504498402323
current_utilization,0.0220884724548453,0.039494995,0.035833088567461056,0.032472185350028965
avg_hourly_rate,0.014161943886001322,0.035925366,0.041038955701011064,0.030375421857150742
overall_preference_score,0.01732216683711272,0.047331493,0.018649883228634877,0.027767847804543607
availability_score,0.009214991595523643,0.04192175,0.026956742149626248,0.026031161152062193
price_competitiveness,0.010501207900688422,0.031785596,0.03418766921758044,0.025491491093449874
rating_preference_match,0.012878232959927904,0.03838574,0.007079384178075535,0.019447786183547686
price_preference_match,0.014657416935344727,0.036365528,0.007083938272279236,0.019368960955759528
certified,0.006983368444991131,0.039026473,0.006441966366990768,0.01748393584316849
distance_preference_match,0.009173525824180477,0.03476108,0.006288904167918522,0.01674116954927292
is_nearby,0.0,0.0,0.0018409165511481347,0.0006136388503827115
is_very_close,0.0,0.0,0.0,0.0
